what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254364751875
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254364752953
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254367629781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254367631421
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254367632375
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254367632734
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254367633515
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254367634453
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254367635187
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254367635437
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1254367635718
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1254367635718
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.tasks,1254367635718
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1254367635718
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1254367635718
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1254367635718
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1254367635718
stopped,bundle,org.python.pydev.customizations,1.4.6.2788,org.python.pydev.customizations,1254367635718
stopped,bundle,org.python.pydev.debug,1.4.6.2788,org.python.pydev.debug,1254367635718
stopped,bundle,org.python.pydev.refactoring,1.4.6.2788,org.python.pydev.refactoring,1254367635718
stopped,bundle,org.python.pydev.templates,1.4.6.2788,org.python.pydev.templates,1254367635718
stopped,bundle,org.python.pydev,1.4.6.2788,org.python.pydev,1254367635734
stopped,bundle,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui,1254367635750
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.bugzilla.ui,1254367635750
stopped,bundle,org.eclipse.mylyn.ide.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ui,1254367635750
